mode,team,event_id,event_name,appearances,full_rate,partial_rate,contained_rate,error_rate,blatant_rate,major_rate
teaching,balanced+balanced,E14,容器内压力异常升高,1144,0.2378,0.2946,0.2701,0.1976,0.0,0.0
teaching,balanced+balanced,E15,实验台出现小型明火,1097,0.2935,0.433,0.0,0.0,0.2735,0.0
teaching,balanced+balanced,E16,刺激性气味明显增强,1138,0.3822,0.1274,0.4411,0.0492,0.0,0.0
challenge,balanced+balanced,E01,未佩戴护目镜,1173,0.2336,0.5047,0.1057,0.156,0.0,0.0
challenge,balanced+balanced,E02,试剂瓶标签模糊,1236,0.2104,0.4555,0.1521,0.182,0.0,0.0
challenge,balanced+balanced,E03,实验台杂乱,1219,0.2043,0.4233,0.1567,0.2158,0.0,0.0
challenge,balanced+balanced,E04,废液桶未及时封口,1199,0.4812,0.2569,0.1943,0.0676,0.0,0.0
challenge,balanced+balanced,E05,挥发性溶剂在开放环境中转移,1201,0.1965,0.4863,0.1307,0.1865,0.0,0.0
challenge,balanced+balanced,E06,有机溶剂附近存在火源,1224,0.2361,0.1577,0.4134,0.1928,0.0,0.0
challenge,balanced+balanced,E07,地面少量液体洒漏,1206,0.2529,0.437,0.1567,0.1534,0.0,0.0
challenge,balanced+balanced,E08,玻璃器皿出现裂纹,1242,0.157,0.2432,0.2391,0.3607,0.0,0.0
challenge,balanced+balanced,E09,气瓶未固定,1241,0.1636,0.2538,0.2425,0.34,0.0,0.0
challenge,balanced+balanced,E10,通风橱内堆放过多物品,1251,0.4309,0.2494,0.263,0.0568,0.0,0.0
challenge,balanced+balanced,E11,废液混放产生异常气味,1263,0.1647,0.2518,0.2454,0.3381,0.0,0.0
challenge,balanced+balanced,E12,加热装置无人值守,1271,0.1487,0.262,0.251,0.3383,0.0,0.0
challenge,balanced+balanced,E13,皮肤接触腐蚀性液体,1233,0.2263,0.3869,0.0,0.0,0.3869,0.0
challenge,balanced+balanced,E14,容器内压力异常升高,1200,0.1542,0.2442,0.2575,0.3442,0.0,0.0
challenge,balanced+balanced,E15,实验台出现小型明火,1231,0.2145,0.3948,0.0,0.0,0.3907,0.0
challenge,balanced+balanced,E16,刺激性气味明显增强,1281,0.3146,0.1319,0.4731,0.0804,0.0,0.0
